secondarykey,Index Value
3.8,10499057
3.8,2025712
3.8,542379
3.8,2034069
3.8,11751605
3.8,6625303
3.8,6652009
3.8,11159663
3.8,1577174
3.8,2038731
3.8,561516
3.8,6695172
3.8,6699809
3.8,9494937
3.8,2620575
3.8,6702732
3.8,1550198
3.8,12239794
3.8,10941229
3.8,5540988
3.8,8890937
3.8,8891901
3.8,2055338
3.8,3251080
3.8,572249
3.8,12972514
3.8,12956363
3.8,2817180
3.8,2135803
3.8,704230
3.8,2837413
3.8,5332400
3.8,710156
3.8,9581464
3.8,4340625
3.8,11251169
3.8,2226972
3.8,11252594
3.8,4335105
3.8,7047480
3.8,2579514
3.8,9237835
3.8,7047672
3.8,4333691
3.8,1295038
3.8,730529
3.8,731160
3.8,7055149
3.8,12105878
3.8,7071736
3.8,2850116
3.8,7085987
3.8,248062
3.8,2251233
3.8,743406
3.8,5299670
3.8,6989916
3.8,5435571
3.8,11243888
3.8,258504
3.8,3122253
3.8,11861115
3.8,1385931
3.8,10067360
3.8,654597
3.8,2822131
3.8,11217519
3.8,3398825
3.8,8269830
3.8,3118704
3.8,8263470
3.8,12693817
3.8,12989606
3.8,2597949
3.8,10918869
3.8,8259270
3.8,2176656
3.8,12824643
3.8,3392431
3.8,11676600
3.8,11228935
3.8,11232613
3.8,8243655
3.8,9250180
3.8,6957609
3.8,9572019
3.8,694131
3.8,2204212
3.8,2011167
3.8,6546849
3.8,1999505
3.8,11820315
3.8,2667291
3.8,51307
3.8,3194442
3.8,2709591
3.8,6143610
3.8,6154081
3.8,11021851
3.8,8642669
3.8,8640251
3.8,6163271
3.8,4660429
3.8,5844699
3.8,2663318
3.8,6181755
3.8,1790642
3.8,6193557
3.8,1922037
3.8,8629724
3.8,12414683
3.8,6201697
3.8,6203622
3.8,6220542
3.8,6236619
3.8,5805031
3.8,5802946
3.8,5800212
3.8,5876616
3.8,12222681
3.8,10333126
3.8,10344622
3.8,3537467
3.8,5943666
3.8,10423741
3.8,11932480
3.8,5951573
3.8,8711392
3.8,1849563
3.8,2685971
3.8,5926425
3.8,2686651
3.8,8698630
3.8,8732807
3.8,5989439
3.8,12207678
3.8,3531361
3.8,12206931
3.8,1835289
3.8,10392169
3.8,6058176
3.8,119702
3.8,118738
3.8,6069753
3.8,8656346
3.8,11026867
3.8,3199077
3.8,12435185
3.8,4678167
3.8,3522367
3.8,1943426
3.8,8592657
3.8,4653506
3.8,8521434
3.8,1981172
3.8,5697068
3.8,480091
3.8,5692338
3.8,12380276
3.8,6438391
3.8,6441162
3.8,12608363
3.8,8493523
3.8,9351898
3.8,12610257
3.8,10205965
3.8,8482413
3.8,12614229
3.8,6475179
3.8,11836785
3.8,3460300
3.8,2760214
3.8,12163060
3.8,10198813
3.8,3620348
3.8,8470062
3.8,10193645
3.8,6509270
3.8,6510181
3.8,512645
3.8,11128490
3.8,6403178
3.8,12847542
3.8,4608697
3.8,3500653
3.8,12548850
3.8,12551749
3.8,8587800
3.8,2720837
3.8,1766862
3.8,12223657
3.8,11116785
3.8,8583038
3.8,6301031
3.8,3589150
3.8,12401364
3.8,12921285
3.8,1278549
3.8,12226102
3.8,1759082
3.8,9366837
3.8,3234338
3.8,1756288
3.8,6337630
3.8,8544780
3.8,1970067
