PrimaryKey,Index Value
727.0,240512
729.0,240708
730.0,240871
732.0,241142
733.0,241375
734.0,241531
735.0,241708
736.0,241872
737.0,242104
739.0,242278
740.0,242459
741.0,242718
742.0,242921
743.0,243094
744.0,243322
745.0,243505
746.0,243705
747.0,243888
749.0,244071
750.0,244223
751.0,244417
752.0,244589
754.0,244837
756.0,244995
757.0,245164
759.0,245313
760.0,245534
761.0,245690
765.0,245869
766.0,246043
767.0,246283
768.0,246482
770.0,246725
772.0,246912
774.0,247129
776.0,247350
777.0,247497
779.0,247641
780.0,247820
781.0,248062
783.0,248243
784.0,248455
785.0,248691
786.0,248860
787.0,249111
789.0,249265
790.0,249452
791.0,249662
792.0,249861
795.0,250035
796.0,250221
797.0,250450
799.0,250658
800.0,250816
801.0,251003
802.0,251193
804.0,251451
805.0,251615
807.0,251793
808.0,252006
809.0,252236
810.0,252424
811.0,252677
814.0,252880
815.0,253109
816.0,253353
818.0,253558
819.0,253805
820.0,253968
823.0,254155
825.0,254353
827.0,254619
828.0,254841
829.0,255057
830.0,255284
831.0,255530
832.0,255736
834.0,255906
835.0,256125
836.0,256395
837.0,256588
839.0,256826
840.0,257073
841.0,257330
842.0,257494
843.0,257663
844.0,257871
846.0,258118
847.0,258359
848.0,258504
852.0,258738
853.0,258909
856.0,259165
857.0,259338
858.0,259542
861.0,259816
862.0,259994
863.0,260153
864.0,260401
866.0,260580
867.0,260789
868.0,261002
869.0,261204
870.0,261389
872.0,261557
873.0,261739
874.0,262014
876.0,262235
877.0,262477
878.0,262640
879.0,262824
880.0,263063
881.0,263268
883.0,263462
885.0,263679
886.0,263890
887.0,264150
888.0,264404
889.0,264610
890.0,264850
891.0,265029
892.0,265198
893.0,265456
894.0,265622
896.0,265806
897.0,266032
898.0,266304
900.0,266532
902.0,266729
903.0,266930
904.0,267122
905.0,267314
906.0,267484
907.0,267690
909.0,267936
911.0,268142
912.0,268395
913.0,268667
915.0,268881
917.0,269103
918.0,269261
919.0,269434
920.0,269607
921.0,269809
922.0,270025
923.0,270236
924.0,270447
925.0,270636
927.0,270903
928.0,271064
929.0,271289
930.0,271511
932.0,271736
937.0,271949
938.0,272132
940.0,272366
942.0,272581
943.0,272841
945.0,273051
946.0,273308
948.0,273475
949.0,273691
950.0,273948
951.0,274098
953.0,274355
954.0,274523
956.0,274780
957.0,275042
958.0,275200
959.0,275389
960.0,275554
961.0,275710
962.0,275879
963.0,276158
964.0,276390
967.0,276599
968.0,276809
969.0,277072
970.0,277302
972.0,277522
973.0,277862
975.0,278141
977.0,278645
978.0,279038
979.0,279661
980.0,280036
981.0,280611
983.0,280953
984.0,281382
985.0,281681
987.0,282002
988.0,282686
989.0,283720
990.0,284303
991.0,284571
994.0,284994
998.0,285302
1002.0,285785
1004.0,286153
1005.0,287126
1006.0,287530
1007.0,288105
1008.0,288481
1009.0,288827
1011.0,289155
1013.0,289677
1014.0,290307
1015.0,290770
1017.0,291223
1018.0,291534
1019.0,292017
1020.0,292634
1021.0,293162
1022.0,294126
1023.0,295143
1024.0,295474
1025.0,295780
1026.0,296371
1027.0,296977
1028.0,297311
1030.0,297865
1032.0,298369
1033.0,299053
1034.0,299785
1038.0,300104
1039.0,300473
1040.0,300793
1041.0,301091
1044.0,301450
1045.0,301732
1048.0,302136
1049.0,302508
1050.0,302791
1051.0,303438
1052.0,303846
1054.0,304249
1055.0,304927
1057.0,305273
1058.0,305686
1059.0,306539
1060.0,306890
1061.0,307230
1064.0,307747
1066.0,308031
1068.0,308621
1069.0,308956
1070.0,309256
1071.0,309702
1072.0,310018
1073.0,310297
1075.0,310596
1076.0,310884
1079.0,311308
1080.0,312006
1081.0,312307
1082.0,312591
1083.0,313307
1084.0,313738
1086.0,314074
1087.0,314425
1088.0,314856
1089.0,315768
1090.0,316051
1091.0,316392
1093.0,317482
1094.0,317989
1096.0,318347
1099.0,318739
1100.0,319081
1102.0,319562
1103.0,319846
1106.0,320256
1107.0,320565
1108.0,320885
1109.0,321149
1110.0,321460
1113.0,321774
1114.0,322235
1115.0,322782
1116.0,323058
1117.0,323453
1118.0,324037
1120.0,324652
1122.0,324966
1123.0,325334
1125.0,325704
1126.0,326594
1129.0,327082
1130.0,327992
1131.0,328464
1132.0,328839
1133.0,329204
1134.0,330104
1136.0,330480
1137.0,330809
1138.0,331302
1139.0,331901
1140.0,332239
1142.0,332684
1143.0,332957
1144.0,333252
1145.0,333531
1146.0,333825
1147.0,334197
1151.0,334560
1152.0,334982
1153.0,335433
1154.0,335740
1157.0,336028
1161.0,336314
1162.0,336599
1163.0,336952
1164.0,337679
1170.0,338611
1172.0,338982
1173.0,339387
1175.0,339669
1176.0,340149
1178.0,340633
1184.0,340935
1185.0,341262
1186.0,341826
1189.0,342111
1193.0,342417
1194.0,342909
1197.0,343259
1201.0,343564
1203.0,344217
1206.0,344924
1208.0,345322
1209.0,345624
1211.0,345922
1212.0,346655
1213.0,347039
1214.0,347627
1216.0,347945
1220.0,348304
1222.0,348684
1223.0,349208
1225.0,349778
1230.0,350209
1231.0,350500
1232.0,350848
1233.0,351330
1235.0,351641
1237.0,351943
1239.0,352317
1241.0,352637
1242.0,352929
1243.0,353342
1244.0,353667
1245.0,354019
1247.0,354301
1249.0,354664
1250.0,355020
1253.0,355371
1257.0,355660
1258.0,356028
1259.0,356407
1261.0,356893
1262.0,358321
1264.0,358637
1265.0,358920
1267.0,359198
1268.0,359567
1270.0,359991
1271.0,360347
1272.0,360626
1274.0,361035
1275.0,361352
1276.0,361673
1277.0,361999
1278.0,362390
1279.0,362663
1280.0,363143
1281.0,363464
1285.0,363842
1288.0,364292
1290.0,364590
1291.0,364916
1293.0,365322
1294.0,365612
1295.0,366008
1296.0,366396
1297.0,366714
1298.0,367016
1299.0,367426
1300.0,367742
1301.0,368024
1303.0,368646
1304.0,369128
1306.0,369845
1307.0,370140
1308.0,370851
1309.0,371166
1311.0,371465
1313.0,371755
1315.0,372218
1316.0,372662
1317.0,373205
1319.0,373585
1320.0,373967
1321.0,374466
1324.0,374930
1328.0,375380
1329.0,375677
1330.0,376086
1332.0,376416
1335.0,376744
1336.0,377165
1337.0,377494
1338.0,378013
1340.0,378562
1341.0,378875
1342.0,379198
1343.0,379537
1344.0,379897
1346.0,380231
1349.0,380764
1350.0,381515
1351.0,381932
1352.0,382222
1353.0,382554
1354.0,382973
1355.0,383257
1357.0,383658
1359.0,384140
1363.0,384615
1364.0,385020
1365.0,385306
1367.0,385583
1368.0,386026
1369.0,386314
1370.0,386614
1372.0,386936
1374.0,387335
1376.0,387654
1378.0,387964
1382.0,388225
1384.0,388417
1385.0,388647
1387.0,388880
1389.0,389044
1390.0,389256
1393.0,389532
1394.0,389790
1395.0,389973
1396.0,390188
1397.0,390357
1399.0,390603
1400.0,390824
1401.0,391023
1402.0,391215
1403.0,391378
1404.0,391579
1405.0,391725
1406.0,391970
1407.0,392179
1408.0,392438
1410.0,392719
1411.0,392863
1412.0,393043
1413.0,393218
1415.0,393399
1416.0,393631
1417.0,393796
1418.0,394058
1419.0,394245
1421.0,394475
1422.0,394734
1423.0,394879
1424.0,395091
1425.0,395305
1426.0,395497
1427.0,395701
1430.0,395971
1433.0,396202
1436.0,396447
1437.0,396677
1440.0,396869
1441.0,397137
1442.0,397310
1443.0,397486
1444.0,397757
1445.0,397919
1448.0,398175
1450.0,398328
1451.0,398586
1453.0,398819
1454.0,399011
1455.0,399207
1458.0,399395
1460.0,399660
1464.0,399840
1465.0,400043
1469.0,400271
1472.0,400527
1473.0,400680
1477.0,400877
1479.0,401103
1482.0,401366
1483.0,401531
1484.0,401714
1485.0,401937
1487.0,402109
1488.0,402325
1490.0,402572
1491.0,402819
1492.0,403014
1493.0,403222
1495.0,403427
1496.0,403649
1497.0,403849
1499.0,404019
1501.0,404190
1502.0,404400
1504.0,404664
1505.0,404858
1506.0,405049
1507.0,405230
1512.0,405457
1513.0,405636
1514.0,405876
1515.0,406129
1518.0,406304
1519.0,406561
1522.0,406721
1523.0,406950
1525.0,407160
1526.0,407372
1527.0,407527
1528.0,407695
1530.0,407961
1532.0,408152
1533.0,408429
1534.0,408622
1535.0,408857
1537.0,409065
1540.0,409270
1541.0,409466
1542.0,409700
1543.0,409955
1544.0,410215
1545.0,410398
1546.0,410554
1548.0,410715
1550.0,410936
1551.0,411113
1552.0,411282
1554.0,411553
1555.0,411801
1556.0,411948
1558.0,412104
1559.0,412368
1561.0,412616
1563.0,412794
1564.0,412955
1565.0,413128
1566.0,413312
1567.0,413485
1568.0,413653
1569.0,413876
1570.0,414053
1573.0,414279
1575.0,414464
1576.0,414656
1577.0,414889
1578.0,415025
1579.0,415261
1580.0,415489
1581.0,415658
1585.0,415838
1587.0,416070
1588.0,416232
1589.0,416486
1590.0,416728
1592.0,416927
1594.0,417162
1596.0,417366
1597.0,417587
1602.0,417818
1603.0,418060
1607.0,418282
1609.0,418533
1611.0,418709
1612.0,418877
1613.0,419070
1614.0,419291
1615.0,419479
1616.0,419693
1617.0,419898
1619.0,420041
1623.0,420299
1625.0,420453
1627.0,420705
1629.0,420902
1630.0,421075
1631.0,421308
1634.0,421532
1635.0,421723
1638.0,421916
1639.0,422073
1640.0,422266
1641.0,422461
1642.0,422622
1644.0,422835
1645.0,423065
1646.0,423322
1648.0,423497
1649.0,423680
1650.0,423846
1653.0,424053
1655.0,424306
1656.0,424578
1658.0,424810
1659.0,425070
1661.0,425232
1662.0,425377
1663.0,425583
1664.0,425798
1665.0,426011
1667.0,426250
1670.0,426517
1674.0,426705
1675.0,426918
1676.0,427113
1678.0,427265
1680.0,427471
1681.0,427717
1686.0,427952
1688.0,428141
1689.0,428349
1690.0,428548
1691.0,428751
1693.0,428937
1694.0,429205
1695.0,429420
1696.0,429581
1698.0,429751
1701.0,430004
1702.0,430265
1703.0,430494
1704.0,430672
1705.0,430876
1706.0,431125
1707.0,431320
1710.0,431582
1712.0,431741
1713.0,431928
1714.0,432184
1715.0,432418
1716.0,432645
1717.0,432848
1718.0,433114
1719.0,433373
1720.0,433548
1722.0,433779
1723.0,433956
1725.0,434149
1728.0,434369
1729.0,434605
1731.0,434824
1732.0,435076
1735.0,435265
1739.0,435498
1740.0,435703
1744.0,435869
1745.0,436072
1748.0,436326
1749.0,436532
1750.0,436719
1753.0,436875
1754.0,437114
1755.0,437282
1756.0,437471
1757.0,437656
1758.0,437913
1761.0,438164
1763.0,438362
1764.0,438524
1765.0,438711
1766.0,438944
1767.0,439167
1768.0,439396
1769.0,439654
1771.0,439836
1772.0,440042
1774.0,440247
1775.0,440390
1778.0,440590
1779.0,440749
1780.0,440953
1781.0,441103
1783.0,441385
1784.0,441571
1786.0,441735
1787.0,441992
1788.0,442206
1791.0,442384
1793.0,442555
1798.0,442825
1802.0,443056
1805.0,443255
1808.0,443410
1814.0,443652
1818.0,443839
1820.0,444086
1821.0,444270
1822.0,444526
1826.0,444705
1827.0,444866
1832.0,445015
1834.0,445210
1836.0,445363
1840.0,445553
1841.0,445819
1844.0,446067
1845.0,446326
1846.0,446528
1848.0,446761
1851.0,446988
1853.0,447232
1854.0,447510
1855.0,447656
1858.0,447865
1861.0,448019
1862.0,448213
1863.0,448442
1865.0,448611
1867.0,448805
1869.0,449054
1870.0,449243
1871.0,449419
1872.0,449613
1874.0,449770
1875.0,450044
1878.0,450259
1880.0,450414
1881.0,450589
1883.0,450776
1884.0,451013
1885.0,451195
1890.0,451393
1892.0,451668
1893.0,451829
1895.0,452004
1897.0,452275
1898.0,452469
1899.0,452746
1901.0,453016
1902.0,453253
1903.0,453446
1904.0,453684
1907.0,453910
1908.0,454107
1909.0,454287
1910.0,454467
1911.0,454728
1912.0,454928
1913.0,455100
1914.0,455271
1915.0,455524
1917.0,455756
1919.0,455969
1920.0,456131
1921.0,456382
1923.0,456618
1925.0,456805
1926.0,456982
1928.0,457174
1929.0,457364
1930.0,457605
1932.0,457841
1933.0,458054
1935.0,458304
1940.0,458481
1941.0,458639
1942.0,458789
1943.0,459002
1944.0,459198
1946.0,459367
1948.0,459600
1950.0,459870
1952.0,460012
1953.0,460227
1954.0,460409
1955.0,460658
1956.0,460819
1957.0,460973
1958.0,461125
1959.0,461368
1960.0,461535
1961.0,461727
1962.0,461891
1963.0,462136
1965.0,462378
1966.0,462603
1968.0,462806
1971.0,463016
1972.0,463298
1974.0,463492
1975.0,463706
1976.0,463962
1977.0,464208
1978.0,464407
1979.0,464588
1980.0,464866
1982.0,465103
1983.0,465343
1984.0,465530
1987.0,465678
1988.0,465902
1990.0,466156
1991.0,466328
1993.0,466528
1994.0,466719
1995.0,466930
1997.0,467112
2001.0,467287
2002.0,467458
2005.0,467624
2006.0,467811
2007.0,468057
2008.0,468314
2009.0,468577
2010.0,468872
2011.0,469250
2012.0,470168
2014.0,471341
2015.0,472031
2016.0,473008
2017.0,473689
2018.0,474428
2019.0,474820
2020.0,475159
2021.0,475730
2022.0,476051
2023.0,476422
2024.0,476727
2025.0,477179
2026.0,477464
2027.0,478275
2029.0,479029
2030.0,479317
2031.0,479648
2032.0,480091
2033.0,480400
2035.0,480687
2036.0,481091
2037.0,481558
2038.0,482045
2039.0,482653
2042.0,483083
2043.0,483472
2044.0,483745
2045.0,484757
2046.0,485168
2047.0,485482
2048.0,485786
2049.0,486092
2050.0,486461
2051.0,487813
2052.0,488118
2053.0,488391
2054.0,488696
2055.0,489071
2056.0,490198
2057.0,490615
2058.0,491129
2059.0,491561
2060.0,492361
2061.0,492906
2062.0,493313
2063.0,493672
2064.0,493979
2065.0,494395
2066.0,494698
2067.0,495715
2068.0,496041
2069.0,496330
2070.0,496663
2071.0,497052
2072.0,497786
2073.0,498478
2074.0,498935
2075.0,499519
2076.0,499882
2077.0,500232
2078.0,500610
2079.0,500912
2081.0,501288
2082.0,502174
2083.0,502501
2084.0,502860
2087.0,503271
2088.0,503569
2089.0,503933
2090.0,504205
2091.0,504691
2092.0,505081
2093.0,505369
2094.0,505667
2097.0,506476
2098.0,507050
2099.0,507348
2100.0,507813
2101.0,508119
2102.0,508504
2103.0,508811
2104.0,509643
2105.0,510105
2106.0,510448
2107.0,511008
2109.0,511538
2110.0,512030
2111.0,512370
2112.0,512645
2113.0,512965
2114.0,513253
2115.0,513575
2116.0,513889
2117.0,514237
2118.0,514865
2119.0,515239
2120.0,515697
2121.0,516145
2123.0,516473
2124.0,517211
2125.0,517668
2127.0,518105
2129.0,518741
2131.0,519256
2133.0,519599
2134.0,519986
2135.0,520677
2136.0,521194
2137.0,521490
2138.0,521914
2139.0,522234
2140.0,522627
2141.0,522987
2142.0,523486
2143.0,523937
2144.0,524242
2145.0,524577
2146.0,524900
2147.0,525284
2148.0,525659
2149.0,526026
2150.0,526408
2151.0,527069
2153.0,527571
2155.0,528103
2156.0,528487
2158.0,528886
2159.0,529251
2160.0,529531
2162.0,529859
2163.0,530369
2164.0,530746
2165.0,531027
2166.0,531691
2167.0,531987
2168.0,532314
2169.0,532611
2170.0,532894
2172.0,533194
2173.0,533499
2174.0,534010
2175.0,534314
2177.0,534622
2178.0,534910
2179.0,535185
2180.0,535534
2181.0,535812
2183.0,536230
2184.0,537713
2185.0,538127
2186.0,538784
2188.0,539226
2189.0,539648
2190.0,540316
2191.0,540797
2192.0,541079
2193.0,541679
2194.0,541957
2195.0,542379
2196.0,543376
2197.0,543688
2198.0,544014
2200.0,544503
2201.0,545290
2202.0,545740
2203.0,546069
2204.0,546390
2207.0,546906
2208.0,547254
2209.0,547614
2211.0,547966
2212.0,548353
2213.0,549266
2214.0,549579
2215.0,549860
2216.0,550351
2217.0,550759
2218.0,551168
2219.0,551538
2220.0,552190
2221.0,552527
2223.0,553038
2224.0,553343
2225.0,553672
2226.0,554128
2228.0,554401
2230.0,554702
2231.0,556211
2232.0,556545
2233.0,557591
2235.0,558894
2236.0,559970
2237.0,560292
2238.0,560581
2239.0,560922
2240.0,561198
2241.0,561516
2242.0,561855
2244.0,562142
2245.0,562529
2246.0,562849
2248.0,563545
2249.0,563856
2250.0,564144
2252.0,564769
2253.0,565066
2254.0,565521
2255.0,566018
2257.0,566343
2258.0,567199
2259.0,567470
2260.0,567756
2261.0,568185
2262.0,568610
2263.0,569190
2264.0,569489
2265.0,569820
2268.0,570121
2269.0,570433
2270.0,571053
2271.0,571394
2272.0,571765
2273.0,572249
2274.0,573498
2275.0,574079
2276.0,574436
2277.0,575082
2278.0,575436
2279.0,575811
2280.0,576258
2281.0,577196
2283.0,577754
2285.0,578090
2286.0,578737
2287.0,579400
2288.0,579748
2289.0,580033
2290.0,580437
2291.0,580886
2292.0,581283
2294.0,581608
2295.0,581900
2297.0,582352
2298.0,582692
2299.0,583126
2301.0,583409
2303.0,584015
2304.0,584319
2305.0,584632
2306.0,585331
2307.0,585619
2309.0,585974
2310.0,586286
2311.0,586653
2312.0,587011
2313.0,587373
2314.0,587642
2315.0,588136
2316.0,588550
2317.0,589145
2318.0,589735
2319.0,590342
2320.0,591245
2322.0,591614
2323.0,592453
2324.0,592888
2325.0,593431
2326.0,594024
2327.0,594343
2328.0,595040
2329.0,595849
2330.0,596349
2332.0,596745
2334.0,597281
2335.0,598921
2336.0,599564
2337.0,599996
2338.0,600422
2339.0,600835
2340.0,601349
2341.0,601922
2342.0,602203
2343.0,602562
2344.0,602987
2345.0,603267
2346.0,603552
2347.0,603929
2348.0,604255
2349.0,604536
2350.0,604831
2351.0,605221
2352.0,605620
2353.0,606627
2354.0,606913
2355.0,607185
2356.0,607481
2357.0,607759
2358.0,608061
2359.0,608388
2360.0,608778
2362.0,609080
2363.0,609372
2364.0,609794
2365.0,610277
2366.0,610693
2367.0,610994
2368.0,611439
2369.0,611864
2371.0,612154
2372.0,612501
2375.0,613396
2376.0,613696
2377.0,614193
2378.0,614643
2379.0,615021
2380.0,615308
2381.0,615637
2382.0,616046
2383.0,616696
2384.0,617002
2385.0,617338
2386.0,617698
2387.0,618224
2388.0,618588
2389.0,619055
2390.0,619580
2391.0,620097
2392.0,620590
2393.0,620892
2394.0,621293
2395.0,621569
2396.0,621925
2398.0,622250
2399.0,622955
2400.0,623291
2401.0,623718
2402.0,624000
2403.0,624354
2404.0,624726
2405.0,625261
2406.0,625576
2407.0,626148
2409.0,626480
2411.0,627086
2412.0,628540
2413.0,628837
2414.0,629309
2415.0,629659
2416.0,629952
2417.0,630279
2418.0,630562
2419.0,630865
2420.0,631564
2422.0,631845
2423.0,632175
2424.0,632488
2425.0,632768
2426.0,633301
2427.0,633726
2429.0,634055
2430.0,634405
2431.0,634736
2432.0,635207
2433.0,635498
2435.0,635915
2436.0,636265
2437.0,636557
2439.0,636898
2440.0,637307
2442.0,637820
2444.0,638166
2446.0,638439
2447.0,638762
2448.0,639383
2449.0,640197
2450.0,640731
2451.0,642022
2452.0,642422
2453.0,643202
2454.0,643605
2455.0,644248
2456.0,644621
2457.0,644907
2458.0,645272
2459.0,645627
2460.0,646294
2461.0,646719
2463.0,647004
2464.0,647353
2465.0,647649
2466.0,647965
2467.0,648271
2468.0,648611
2469.0,648921
2470.0,649472
2472.0,649767
2473.0,650421
2474.0,650778
2475.0,651241
2477.0,651638
2478.0,651969
2480.0,652315
2481.0,652696
2482.0,652995
2483.0,654153
2484.0,654597
2485.0,654993
2486.0,655312
2487.0,655730
2488.0,656417
2489.0,656729
2491.0,657644
2493.0,658478
2494.0,659210
2495.0,659557
2496.0,659824
2497.0,660140
2498.0,660422
2499.0,660735
2500.0,661170
